"","Year","Area","Street","Street.2"
"601",2011,"Birmingham","Harborne High St.",""
"602",2011,"Birmingham","Harborne High St.","Harborne High St."
"603",2011,"Birmingham","Harborne High street",""
"604",2011,"Birmingham","Harborne Park Rd.",""
"605",2011,"Birmingham","Harborne Police Station",""
"606",2011,"Birmingham","Harbourne cricket club",""
"607",2011,"Birmingham","Hawkesley End",""
"608",2011,"Birmingham","Hawkesley Square",""
"609",2011,"Birmingham","Hazelwell St.",""
"610",2011,"Birmingham","heathmill lane digbeth",""
"611",2011,"Birmingham","herons wood",""
"612",2011,"Birmingham","High St",""
"613",2011,"Birmingham","High St Harborne",""
"614",2011,"Birmingham","high st harborne",""
"615",2011,"Birmingham","high st northfield",""
"616",2011,"Birmingham","High St. harborne",""
"617",2011,"Birmingham","High St. Harborne",""
"618",2011,"Birmingham","high street harborne",""
"619",2011,"Birmingham","high street harborne","high street harborne"
"620",2011,"Birmingham","high street harbourne",""
"621",2011,"Birmingham","High St.  Harborne","High St. Harborne"
"622",2011,"Birmingham","High St.  Harborne","High St. Harborne"
"623",2011,"Birmingham","Highfdield Lane",""
"624",2011,"Birmingham","highfield lane",""
"625",2011,"Birmingham","Highfield Lane  Quinton","Highfield Lane Quinton"
"626",2011,"Birmingham","Hoggs Lane  Northfield","Hoggs Lane Northfield"
"627",2011,"Birmingham","Hollybank Rd.",""
"628",2011,"Birmingham","Holywood Bowl  Rubery","Holywood Bowl Rubery"
"629",2011,"Birmingham","Home address",""
"630",2011,"Birmingham","Honnington Crescent  Northfield","Honnington Crescent Northfield"
"631",2011,"Birmingham","jiggins lane",""
"632",2011,"Birmingham","Jiggins Lane  Bartley Green","Jiggins Lane Bartley Green"
"633",2011,"Birmingham","kembertone Rd.",""
"634",2011,"Birmingham","Kings Norton Green",""
"635",2011,"Birmingham","leech green rd",""
"636",2011,"Birmingham","leith grove",""
"637",2011,"Birmingham","leith grove","leith grove"
"638",2011,"Birmingham","Long Fellow Rd.",""
"639",2011,"Birmingham","Longbridge Lane","Longbridge Lane"
"640",2011,"Birmingham","Longbridge Lane","Longbridge Lane"
"641",2011,"Birmingham","Longbridge Lane  West heath","Longbridge Lane West heath"
"642",2011,"Birmingham","longham croft",""
"643",2011,"Birmingham","Lottie Rd.",""
"644",2011,"Birmingham","lutley grove",""
"645",2011,"Birmingham","Malins Rd.  Harborne","Malins Rd. Harborne"
"646",2011,"Birmingham","manderville house",""
"647",2011,"Birmingham","Marjoram Close  Hawksley","Marjoram Close Hawksley"
"648",2011,"Birmingham","Masshouse Lane",""
"649",2011,"Birmingham","Masshouse Lane","Masshouse Lane"
"650",2011,"Birmingham","maypole lane",""
"651",2011,"Birmingham","merritts hill",""
"652",2011,"Birmingham","metchley lane",""
"653",2011,"Birmingham","moat Rd.",""
"654",2011,"Birmingham","Mounbatten House  Wyndham Rd.","Mounbatten House Wyndham Rd."
"655",2011,"Birmingham","NEW STREET BR",""
"656",2011,"Birmingham","new street station",""
"657",2011,"Birmingham","Nortb Worcester Golf Club",""
"658",2011,"Birmingham","North St.  Harborne","North St. Harborne"
"659",2011,"Birmingham","North St.  Harborne","North St. Harborne"
"660",2011,"Birmingham","Northfield High St.","Northfield High St."
"661",2011,"Birmingham","Northfield High St. ","Northfield High St."
"662",2011,"Birmingham","oakridge Rd. northfield",""
"663",2011,"Birmingham","Oddingley Rd.",""
"664",2011,"Birmingham","Oddingley Rd.  West heath","Oddingley Rd. West heath"
"665",2011,"Birmingham","Paradise Forum  Birmingham ","Paradise Forum Birmingham"
"666",2011,"Birmingham","parsons hill",""
"667",2011,"Birmingham","pershore Rd.",""
"668",2011,"Birmingham","pershore Rd.","pershore Rd."
"669",2011,"Birmingham","pershore Rd.","pershore Rd."
"670",2011,"Birmingham","pershore Rd.","pershore Rd."
"671",2011,"Birmingham","pershore Rd.","pershore Rd."
"672",2011,"Birmingham","Pershore Rd.",""
"673",2011,"Birmingham","Pershore Rd.","Pershore Rd."
"674",2011,"Birmingham","pershore Rd.","pershore Rd."
"675",2011,"Birmingham","pershore Rd.","pershore Rd."
"676",2011,"Birmingham","pershore Rd.","pershore Rd."
"677",2011,"Birmingham","pershore Rd.","pershore Rd."
"678",2011,"Birmingham","Pershore Rd. South  Kings Norton","Pershore Rd. South Kings Norton"
"679",2011,"Birmingham","Poole Crescent  Harborne","Poole Crescent Harborne"
"680",2011,"Birmingham","poplar avenue",""
"681",2011,"Birmingham","Portlands Rd.",""
"682",2011,"Birmingham","Princethorpe Rd.",""
"683",2011,"Birmingham","QE Casualty",""
"684",2011,"Birmingham","qe hospital",""
"685",2011,"Birmingham","QE Hospital",""
"686",2011,"Birmingham","quality hotel",""
"687",2011,"Birmingham","Queen Elizabeth Hospital",""
"688",2011,"Birmingham","Raddlebarn Rd.",""
"689",2011,"Birmingham","richmond hill Rd.",""
"690",2011,"Birmingham","Richmond Rd.",""
"691",2011,"Birmingham","Rose Rd.",""
"692",2011,"Birmingham","Rose Rd.  Harborne","Rose Rd. Harborne"
"693",2011,"Birmingham","Sainsburys  Frankley Beeches Rd  Northfield","Sainsburys Frankley Beeches Rd Northfield"
"694",2011,"Birmingham","selcroft ave",""
"695",2011,"Birmingham","Shannon Rd  Kings Norton","Shannon Rd Kings Norton"
"696",2011,"Birmingham","shawbrook grove",""
"697",2011,"Birmingham","shell forecourt bristol rd",""
"698",2011,"Birmingham","Sir Hiltons Rd.  West Heath","Sir Hiltons Rd. West Heath"
"699",2011,"Birmingham","Snax 24 forcourt ","Snax 24 forcourt"
"700",2011,"Birmingham","Solihull High St.",""
"701",2011,"Birmingham","Solihull High St.  Outside Rosies ","Solihull High St. Outside Rosies"
"702",2011,"Birmingham","stanley Rd. quinton",""
"703",2011,"Birmingham","Stone Rd.  Edgbaston","Stone Rd. Edgbaston"
"704",2011,"Birmingham","stonehouse lane",""
"705",2011,"Birmingham","Stratford Rd.  Sparkbrook  Birmingham ","Stratford Rd. Sparkbrook Birmingham"
"706",2011,"Birmingham","The Fold",""
"707",2011,"Birmingham","The Fold  Kings Norton","The Fold Kings Norton"
